product_name,product_quantity,product_price,date_updated
Bagel - Whole White Sesame,97,4.3,2018-11-01
Sauce - Caesar Dressing,16,8.25,2019-04-10
Shiratamako - Rice Flour,71,7.99,2018-03-07
Tart - Raisin And Pecan,86,1.06,2019-01-18
Radish,22,2.47,2018-11-06
Juice - V8 Splash,67,1.14,2018-01-13
Red Currants,49,6.77,2018-10-01
Soup - Base Broth Beef,62,5.44,2019-03-09
Tomatoes Tear Drop Yellow,73,0.64,2019-02-09
Mussels - Cultivated,24,9.34,2018-07-31
"Bread - Crumbs, Bulk",88,4.49,2019-01-12
"Beans - Long, Chinese",47,4.73,2018-09-22
"Beans - Navy, Dry",44,4.59,2018-01-20
"Basil - Dry, Rubbed",21,8.69,2018-02-04
Apple - Granny Smith,72,5.05,2018-01-12
"Lid - High Heat, Super Clear",5,1.23,2018-02-09
Oranges - Navel,46,4.78,2018-06-06
Berry Brulee,50,7.59,2018-08-25
Lobster - Canned Premium,57,7.61,2018-04-15
Ham - Procutinni,8,5.7,2019-01-09
Veal - Ground,5,7.67,2018-12-19
Oil - Cooking Spray,6,4.2,2018-06-11
"Extract - Vanilla,artificial",20,2.91,2018-06-08
"Mushroom - Porcini, Dry",71,8.14,2018-07-26
Wine - Chateau Bonnet,54,7.41,2018-03-10
